name,gender,birthday
Harvey Glover,Male,5/22/1969
Sean Dean,Female,6/19/1953
Claudia Steele,Female,5/30/1971
Isaac Tate,Female,1/21/2000
Lola Brock,Female,4/20/1996
Jeremy Bates,Male,9/12/1968
Sadie Malone,Male,11/30/1977
Ann Ellis,Male,1/16/1974
Clifford Lynch,Female,5/31/1972
Rodney Patterson,Female,10/11/1991
Henry Thompson,Male,3/7/1953
Helen Romero,Female,12/22/1958
George Cooper,Male,1/19/1970
Jack Dixon,Female,9/20/1988
Seth Bowen,Male,11/28/1993
Hilda Salazar,Female,1/14/1982
Roger Brooks,Male,5/27/1986
Helena Harmon,Female,12/15/1963
Myrtie Bridges,Male,12/4/1986
Ora Perry,Female,1/15/1958
Patrick Willis,Male,3/14/1980
Irene Keller,Male,9/7/1988
Isaac Ortiz,Female,1/7/1960
Cameron Moore,Male,5/30/1995
Harvey McCarthy,Male,5/6/1978
Luella Bates,Female,1/1/1988
Christopher Hansen,Male,10/28/1997
Callie Andrews,Female,1/22/1975
Lora Boyd,Male,11/11/1976
Jared Flowers,Female,7/15/1981
Mattie Mendoza,Male,10/25/1972
Eula Quinn,Female,10/30/1991
Mike Cannon,Female,12/19/1982
Nannie Bradley,Male,1/24/1967
Matilda Patton,Male,4/20/1981
Alma Casey,Male,3/8/1995
Della Ellis,Female,7/21/1988
Virginia Wells,Female,5/16/1955
Aiden Jacobs,Male,5/20/1963
Benjamin Mason,Male,12/19/1959
Della Dixon,Male,4/23/1995
Landon Fletcher,Female,3/15/1961
Tony West,Male,5/23/1967
Devin Murphy,Female,10/13/1977
Mina Joseph,Male,8/17/1961
Ralph Holland,Female,12/13/1978
Harvey Herrera,Male,9/17/1999
Dustin Underwood,Male,12/12/1972
Maude Brooks,Male,10/16/1957
Tom McLaughlin,Male,10/19/1997
Nelle Poole,Female,4/4/1960
Mitchell Cortez,Female,4/11/1984
Tillie Stone,Female,9/12/1971
Eunice Hampton,Female,6/27/1971
Virgie Glover,Female,10/29/1999
Max Francis,Male,10/6/1970
Sarah Howell,Female,11/9/1972
Charlie Byrd,Female,5/28/1980
Evelyn Wong,Female,1/23/1968
Franklin Bowen,Female,8/19/1986
Lawrence Newman,Female,12/7/1999
William Simmons,Male,6/27/1979
Vincent Rodgers,Female,8/7/1969
Eugenia Sullivan,Male,1/1/1974
Eugene Clark,Female,2/25/1955
Matthew Cummings,Female,2/27/1996
Evelyn Glover,Male,6/18/1973
Katherine Benson,Female,10/1/1984
Teresa Morgan,Male,10/17/1978
Carlos Robbins,Female,2/14/1967
Victor Jackson,Male,5/12/1984
Ruth Bennett,Female,1/8/1999
Katharine Newman,Female,10/18/1960
Leila Daniels,Male,12/28/1989
Herman Sanchez,Male,3/17/1995
